timestamp,path_img,dofw,weekend
2023-08-16 23:25:50.990262,img/pasirkoja_selatan/pasirkoja_selatan-8-16 23-25-50.png,2,0
2023-08-16 23:26:06.477234,img/pasirkoja_barat/pasirkoja_barat-8-16 23-26-6.png,2,0
2023-08-16 23:26:21.930402,img/pasirkoja_utara/pasirkoja_utara-8-16 23-26-21.png,2,0
2023-08-16 23:26:37.316484,img/cibeureum/cibeureum-8-16 23-26-37.png,2,0
2023-08-16 23:32:12.233335,img/gedebage_timur/gedebage_timur-8-16 23-32-12.png,2,0
2023-08-16 23:32:17.678477,img/gedebage_timur/gedebage_timur-8-16 23-32-17.png,2,0
2023-08-16 23:32:23.090954,img/gedebage_timur/gedebage_timur-8-16 23-32-23.png,2,0
2023-08-16 23:32:43.544103,img/gedebage_barat/gedebage_barat-8-16 23-32-43.png,2,0
2023-08-16 23:32:48.949316,img/gedebage_barat/gedebage_barat-8-16 23-32-48.png,2,0
2023-08-16 23:32:54.471382,img/gedebage_barat/gedebage_barat-8-16 23-32-54.png,2,0
2023-08-16 23:33:14.971560,img/gedebage_selatan/gedebage_selatan-8-16 23-33-14.png,2,0
2023-08-16 23:33:20.359697,img/gedebage_selatan/gedebage_selatan-8-16 23-33-20.png,2,0
2023-08-16 23:33:25.795813,img/gedebage_selatan/gedebage_selatan-8-16 23-33-25.png,2,0
2023-08-16 23:33:46.231413,img/gedebage_utara/gedebage_utara-8-16 23-33-46.png,2,0
2023-08-16 23:33:51.744793,img/gedebage_utara/gedebage_utara-8-16 23-33-51.png,2,0
2023-08-16 23:33:57.161563,img/gedebage_utara/gedebage_utara-8-16 23-33-57.png,2,0
2023-08-16 23:34:17.608360,img/samsat/samsat-8-16 23-34-17.png,2,0
2023-08-16 23:34:23.007340,img/samsat/samsat-8-16 23-34-23.png,2,0
2023-08-16 23:34:28.427548,img/samsat/samsat-8-16 23-34-28.png,2,0
2023-08-16 23:34:48.807214,img/samsat_barat/samsat_barat-8-16 23-34-48.png,2,0
2023-08-16 23:34:54.130240,img/samsat_barat/samsat_barat-8-16 23-34-54.png,2,0
2023-08-16 23:34:59.513637,img/samsat_barat/samsat_barat-8-16 23-34-59.png,2,0
2023-08-16 23:35:19.932421,img/samsat_selatan/samsat_selatan-8-16 23-35-19.png,2,0
2023-08-16 23:35:25.496631,img/samsat_selatan/samsat_selatan-8-16 23-35-25.png,2,0
2023-08-16 23:35:31.001868,img/samsat_selatan/samsat_selatan-8-16 23-35-31.png,2,0
2023-08-16 23:35:51.516204,img/samsat_utara/samsat_utara-8-16 23-35-51.png,2,0
2023-08-16 23:35:56.921771,img/samsat_utara/samsat_utara-8-16 23-35-56.png,2,0
2023-08-16 23:36:02.333665,img/samsat_utara/samsat_utara-8-16 23-36-2.png,2,0
2023-08-16 23:36:22.756879,img/buahbatu/buahbatu-8-16 23-36-22.png,2,0
2023-08-16 23:36:28.180217,img/buahbatu/buahbatu-8-16 23-36-28.png,2,0
2023-08-16 23:36:33.586321,img/buahbatu/buahbatu-8-16 23-36-33.png,2,0
2023-08-16 23:36:54.035909,img/buahbatu_timur/buahbatu_timur-8-16 23-36-54.png,2,0
2023-08-16 23:36:59.402609,img/buahbatu_timur/buahbatu_timur-8-16 23-36-59.png,2,0
2023-08-16 23:37:04.803828,img/buahbatu_timur/buahbatu_timur-8-16 23-37-4.png,2,0
2023-08-16 23:37:25.216596,img/buahbatu_selatan/buahbatu_selatan-8-16 23-37-25.png,2,0
2023-08-16 23:37:30.665291,img/buahbatu_selatan/buahbatu_selatan-8-16 23-37-30.png,2,0
2023-08-16 23:37:36.098969,img/buahbatu_selatan/buahbatu_selatan-8-16 23-37-36.png,2,0
2023-08-16 23:37:56.493615,img/buahbatu_barat/buahbatu_barat-8-16 23-37-56.png,2,0
2023-08-16 23:38:01.832812,img/buahbatu_barat/buahbatu_barat-8-16 23-38-1.png,2,0
2023-08-16 23:38:07.232949,img/buahbatu_barat/buahbatu_barat-8-16 23-38-7.png,2,0
2023-08-16 23:38:27.558762,img/buahbatu_utara/buahbatu_utara-8-16 23-38-27.png,2,0
2023-08-16 23:38:33.035511,img/buahbatu_utara/buahbatu_utara-8-16 23-38-33.png,2,0
2023-08-16 23:38:38.490683,img/buahbatu_utara/buahbatu_utara-8-16 23-38-38.png,2,0
